TUB-008-040045	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; EBONITE; B36.10
TUB-008-060053	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; EBONITE; B36.10
TUB-008-080061	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; EBONITE; B36.10
TUB-008-100067	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; EBONITE; B36.10
TUB-008-120012		TUBO METÁLICO; AC; A106 GR B; S/C; PC; EBONITE; B36.10
TUB-008-140010	Sch 30	TUBO METÁLICO; AC; A106 GR B; S/C; PC; EBONITE; B36.10
TUB-009-015037	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PL; EBONITE; B36.10
TUB-009-020041	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PL; EBONITE; B36.10
TUB-010-160009	Sch 30	TUBO; AC; API 5L GR B PSL1; C/C; PC; EBONITE; B36.10
TUB-010-180006		TUBO; AC; API 5L GR B PSL1; C/C; PC; EBONITE; B36.10
TUB-010-200005	Sch 20	TUBO; AC; API 5L GR B PSL1; C/C; PC; EBONITE; B36.10
TUB-010-240004	Sch 20	TUBO; AC; API 5L GR B PSL1; C/C; PC; EBONITE; B36.10
TUB-011-600002		TUBO; AI; A358 GR 304 CL 1; C/C; PC; B36.19 / PADR. FABR.
TUB-013-260999		TUBO; AC; A671 GR CC 60 CL 32; C/C; PC; B36.10
TUB-013-300999		TUBO; AC; A671 GR CC 60 CL 32; C/C; PC; B36.10
TUB-017-120012	Sch 40S	TUBO; AL; A691 GR 1.1/4CR CL 22; C/C; PC; B36.10
TUB-017-140010	Sch 40S	TUBO; AL; A691 GR 1.1/4CR CL 22; C/C; PC; B36.10
TUB-017-160009	Sch 40S	TUBO; AL; A691 GR 1.1/4CR CL 22; C/C; PC; B36.10
TUB-017-160999		TUBO; AL; A691 GR 1.1/4CR CL 22; C/C; PC; B36.10
TUB-021-080044	Sch 80S	TUBO METÁLICO; AI; A358 GR 347 CL 1; C/C; PC; B36.19
TUB-021-100044	Sch 80S	TUBO METÁLICO; AI; A358 GR 347 CL 1; C/C; PC; B36.19
TUB-021-120999		TUBO METÁLICO; AI; A358 GR 347 CL 1; C/C; PC; B36.19
TUB-021-140999		TUBO METÁLICO; AI; A358 GR 347 CL 1; C/C; PC; B36.19
TUB-021-160999		TUBO METÁLICO; AI; A358 GR 347 CL 1; C/C; PC; B36.19
TUB-021-180999		TUBO METÁLICO; AI; A358 GR 347 CL 1; C/C; PC; B36.19
TUB-024-100013		TUBO METÁLICO; ALU; B209 TP 5052; S/C; PC; B36.19
TUB-024-120047	Sch 20	TUBO METÁLICO; ALU; B209 TP 5052; S/C; PC; B36.19
TUB-024-140047	Sch 10	TUBO METÁLICO; ALU; B209 TP 5052; S/C; PC; B36.19
TUB-024-160047	Sch 10	TUBO METÁLICO; ALU; B209 TP 5052; S/C; PC; B36.19
TUB-024-180047	Sch 10	TUBO METÁLICO; ALU; B209 TP 5052; S/C; PC; B36.19
TUB-025-001003		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-005025	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-005026	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-005027	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-005031		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-007029	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-007042	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-007043	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-007055		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-010033	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-010049	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
